103,86581567062069
109,72740212828684
106,13755714322369
97,2318516335439
104,72051574352096
98,73588609690711
78,65383004994526
111,58515947226049
85,80581562369197
102,81591935704283
87,94098744003816
116,00281329627884
113,34644099269968
97,03780918567324
107,89754538183445
115,87260273693849
85,93704840110217
97,57443004335795
119,07918567232684
103,54244696535044
92,05292264233238
107,12491098282287
98,46827826534134
97,33341011870189
106,36821813776781
110,91815349478297
96,3630903239305
106,18206549356702
103,00966103526186
87,30824258250492
93,67483463900273
93,25005823194489
96,68027921804277
93,78895940581168
110,57746366897206
94,457166725049
100,23386099552842
92,50675753969766
96,79845432321841
98,51514669510085
80,53968016841606
92,74695530290045
97,74223564463995
92,08039202428954
102,16907427920619
92,32427458411567
100,28559131333871
81,60287275163361
102,85185439223957
88,99872264592065
92,58843687970156
98,08849532538478
111,48951923783227
109,26041226203206
96,45019562942855
91,14233122785788
107,74654612351912
94,80452937145839
95,23351874182488
108,21107252257
117,75214295548082
92,92272422372
109,19868722438265
111,18202412799009
98,1033894505974
104,55821844855552
111,86914053429236
114,65026346122652
95,46679292531266
122,14146065546191
103,16997383791936
111,43477003838582
82,55406517636806
100,20530417598638
105,0113921486566
125,89720847610576
101,85591099449361
106,25406342471959
86,8063827523983
104,84265085393447
100,2130988833622
94,4714371032708
119,94236020815985
91,08698516287458
77,76910148778084
125,02799789837965
91,79359732909154
95,1404042148733
123,0347711803881
88,31598621193399
107,47479619854275
102,91951100215395
104,67968140610935
105,47005737439721
94,92386163049423
105,091168274312
99,72244783232422
101,60948568104277
99,1710806803138
99,32061005693537
101,48354162885865
105,32426763166758
100,26173904258323
116,08308551201351
107,1223269569369
102,51500779979258
102,33661075379358
97,65005135639741
93,83568971727583
100,00234784880448
119,59774190677359
85,28403536006644
108,7877735500277
95,55841571585279
102,98689879279854
97,42947294603873
117,85758910908862
118,83074181841266
100,47069539620982
105,00186605914867
97,25022317450872
106,38429279460868
95,81911580358585
113,83939987717645
88,91129954923109
111,14663257678043
100,54239098868966
102,01867022164616
88,37675161723635
91,63811684468514
94,80669759411651
102,62134757307808
89,70437551911606
108,17510734316797
98,46573056763638
99,70365523745448
107,3252777585625
102,33036531822452
122,98208709026413
105,17432124481493
103,70117214822211
94,5732155588805
